rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,subjects_offered,year
1201–1500,The Hashemite University,18.4–24.3,13020,14.3,1734,13.5,1139,23.7,1337,42.8,697,54.5,584,Jordan,"16,647",27.9,7%,"Computer Science,Chemistry,Architecture,Business & Management,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Archaeology,Agriculture & Forestry,Civil Engineering,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Other Health,Medicine & Dentistry,Physics & Astronomy,General Engineering,Education,Accounting & Finance,Sport Science,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Mathematics & Statistics",2023
1201–1500,Université Hassan II de Casablanca,18.4–24.3,13030,19.4,1179,8.6,1704,30.3,1205,38.6,1171,24.6,1491,Morocco,"124,623",36.0,2%,"Archaeology,Electrical & Electronic Engineering,Physics & Astronomy,Education,Medicine & Dentistry,History, Philosophy & Theology,Computer Science,Economics & Econometrics,General Engineering,Business & Management,Other Health,Geology, Environmental, Earth & Marine Sciences,Geography,Psychology,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Biological Sciences,Communication & Media Studies,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Accounting & Finance,Civil Engineering,Law,Mathematics & Statistics,Chemistry,Sociology,Chemical Engineering",2023
1201–1500,Université Polytechnique Hauts-de-France,18.4–24.3,13040,15.4,1656,8.1,1766,32.6,1158,37.7,1366,76.2,263,France,"13,633",21.2,13%,"Computer Science,Mathematics & Statistics,Chemical Engineering,Psychology,Art, Performing Arts & Design,General Engineering,Architecture,Economics & Econometrics,Sport Science,Accounting & Finance,Mechanical & Aerospace Engineering,Civil Engineering,Education,History, Philosophy & Theology,Electrical & Electronic Engineering,Physics & Astronomy,Archaeology,Business & Management,Biological Sciences,Geography,Languages, Literature & Linguistics,Law,Politics & International Studies (incl Development Studies),Chemistry,Communication & Media Studies,Other Health",2023
1201–1500,Helwan University,18.4–24.3,13050,15.5,1646,8.3,1741,31.1,1185,37.3,1508,39.7,965,Egypt,"127,379",19.3,2%,"Communication & Media Studies,Accounting & Finance,Geography,Computer Science,Physics & Astronomy,Archaeology,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Economics & Econometrics,History, Philosophy & Theology,Chemical Engineering,Psychology,Law,Politics & International Studies (incl Development Studies),Business & Management,Sociology,Medicine & Dentistry,Education,Mathematics & Statistics,Languages, Literature & Linguistics,General Engineering,Biological Sciences,Electrical & Electronic Engineering,Architecture,Chemistry,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Sport Science,Other Health",2023
1201–1500,Hosei University,18.4–24.3,13060,16.7,1525,10.0,1512,27.8,1254,38.3,1222,31.8,1200,Japan,"30,300",39.2,4%,"Civil Engineering,Politics & International Studies (incl Development Studies),Computer Science,Psychology,Electrical & Electronic Engineering,Business & Management,Communication & Media Studies,Languages, Literature & Linguistics,Biological Sciences,Economics & Econometrics,Sociology,Law,Architecture,Accounting & Finance,Sport Science,History, Philosophy & Theology,Geography,Mechanical & Aerospace Engineering",2023
1201–1500,University of Hradec Králové,18.4–24.3,13070,17.0,1486,13.6,1131,30.0,1214,39.3,1061,57.6,516,Czech Republic,"6,390",12.3,3%,"Other Health,Economics & Econometrics,Sociology,Languages, Literature & Linguistics,Education,Accounting & Finance,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Biological Sciences,Business & Management,Computer Science,Archaeology,Physics & Astronomy,Art, Performing Arts & Design,Chemistry,Communication & Media Studies",2023
1201–1500,Hungarian University of Agriculture and Life Sciences,18.4–24.3,13080,21.1,1030,13.3,1164,21.0,1402,37.7,1367,56.2,549,Hungary,"10,474",10.5,14%,"Business & Management,General Engineering,Mechanical & Aerospace Engineering,Education,Computer Science,Economics & Econometrics,Biological Sciences,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Architecture,Agriculture & Forestry,Art, Performing Arts & Design",2023
1201–1500,University of Ilorin,18.4–24.3,13090,19.8,1144,10.7,1429,35.8,1093,36.9,1754,33.5,1150,Nigeria,"40,901",34.8,1%,"Business & Management,Civil Engineering,Communication & Media Studies,Accounting & Finance,General Engineering,Physics & Astronomy,Art, Performing Arts & Design,Veterinary Science,Other Health,Sociology,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Mathematics & Statistics,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Law,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Psychology,Economics & Econometrics,Chemistry,Education,Biological Sciences,Geography,Architecture,Computer Science,Agriculture & Forestry,Politics & International Studies (incl Development Studies)",2023
1201–1500,Immanuel Kant Baltic Federal University,18.4–24.3,13100,30.7,489,15.0,1020,12.6,1612,48.3,449,53.3,600,Russian Federation,"7,041",16.2,15%,"Economics & Econometrics,General Engineering,Other Health,Physics & Astronomy,Archaeology,Civil Engineering,Psychology,Medicine & Dentistry,Communication & Media Studies,Politics & International Studies (incl Development Studies),Architecture,Education,Mathematics & Statistics,Art, Performing Arts & Design,Chemical Engineering,Law,Sociology,Business & Management,Biological Sciences,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Chemistry,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Computer Science,Mechanical & Aerospace Engineering,Geography",2023
1201–1500,Incheon National University,18.4–24.3,13110,17.9,1363,14.6,1056,25.2,1304,38.6,1172,29.8,1276,South Korea,"13,210",17.3,3%,"Education,Communication & Media Studies,Chemistry,Business & Management,Politics & International Studies (incl Development Studies),Sport Science,Law,Computer Science,General Engineering,Mechanical & Aerospace Engineering,Sociology,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Architecture,Mathematics & Statistics,Biological Sciences,Electrical & Electronic Engineering,Chemical Engineering,Art, Performing Arts & Design,Economics & Econometrics,Physics & Astronomy",2023
1201–1500,Indian Institute of Science Education and Research Bhopal,18.4–24.3,13120,27.8,609,15.8,972,19.2,1435,36.9,1755,20.2,1679,India,"1,724",14.1,0%,"Chemical Engineering,Chemistry,Economics & Econometrics,Accounting & Finance,History, Philosophy & Theology,Mathematics & Statistics,Computer Science,Physics & Astronomy,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Biological Sciences",2023
1201–1500,International Hellenic University,18.4–24.3,13130,11.7,1798,10.8,1416,34.4,1122,37.3,1510,31.2,1229,Greece,"45,009",49.0,1%,"Business & Management,Agriculture & Forestry,Sociology,Architecture,Accounting & Finance,Law,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Communication & Media Studies,Archaeology,Computer Science,Chemistry,Art, Performing Arts & Design,Other Health,Geography,General Engineering,Civil Engineering,Physics & Astronomy,Education,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Economics & Econometrics,Biological Sciences",2023
1201–1500,IPB University,18.4–24.3,13140,26.1,689,9.7,1549,17.6,1474,53.1,353,40.4,948,Indonesia,"23,580",6.7,3%,"Civil Engineering,Physics & Astronomy,Agriculture & Forestry,General Engineering,Communication & Media Studies,Mathematics & Statistics,Chemical Engineering,Veterinary Science,Business & Management,Biological Sciences,Sociology,Computer Science,Chemistry,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics",2023
1201–1500,Irkutsk National Research Technical University,18.4–24.3,13150,17.7,1390,9.6,1557,34.5,1118,43.0,677,26.2,1415,Russian Federation,"9,710",10.8,10%,"Psychology,Civil Engineering,Communication & Media Studies,General Engineering,Physics & Astronomy,Art, Performing Arts & Design,Chemical Engineering,Chemistry,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Computer Science,Accounting & Finance,Economics & Econometrics,Architecture,Mechanical & Aerospace Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,Law,Business & Management,Biological Sciences,Sport Science",2023
1201–1500,University of Isfahan,18.4–24.3,13160,30.6,496,17.2,880,21.9,1383,38.5,1187,27.9,1348,Iran,"16,756",24.7,4%,"Sociology,Civil Engineering,Economics & Econometrics,Biological Sciences,Geography,Mechanical & Aerospace Engineering,Chemical Engineering,Chemistry,General Engineering,Business & Management,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Education,Psychology,Physics & Astronomy,History, Philosophy & Theology,Law,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Sport Science,Computer Science,Accounting & Finance,Politics & International Studies (incl Development Studies)",2023
1201–1500,Istanbul Medipol University,18.4–24.3,13170,14.1,1744,9.5,1573,28.2,1247,38.0,1295,34.8,1106,Turkey,"24,332",20.4,11%,"Accounting & Finance,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Psychology,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Architecture,Civil Engineering,Education,Law,Computer Science,Business & Management,Communication & Media Studies,Medicine & Dentistry,Other Health",2023
1201–1500,Ivan Franko National University of Lviv,18.4–24.3,13180,20.6,1073,9.5,1574,4.2,1774,37.6,1393,30.9,1235,Ukraine,"18,357",10.0,1%,"Politics & International Studies (incl Development Studies),Economics & Econometrics,Business & Management,History, Philosophy & Theology,Geography,Electrical & Electronic Engineering,Chemistry,Sociology,Art, Performing Arts & Design,Physics & Astronomy,Languages, Literature & Linguistics,Biological Sciences,Education,Mathematics & Statistics,Computer Science,Archaeology,Communication & Media Studies,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Psychology,Law",2023
1201–1500,Jawaharlal Nehru Technological University Anantapur (JNTUA),18.4–24.3,13190,26.0,695,12.3,1254,34.1,1128,37.3,1514,16.0,1787,India,"5,683",16.1,0%,"Chemical Engineering,Electrical & Electronic Engineering,Business & Management,Physics & Astronomy,Accounting & Finance,Agriculture & Forestry,Mechanical & Aerospace Engineering,Other Health,Chemistry,Mathematics & Statistics,Computer Science,Civil Engineering,General Engineering",2023
1201–1500,Jeju National University,18.4–24.3,13200,19.3,1190,15.6,986,22.4,1370,40.0,964,23.0,1563,South Korea,"11,741",17.6,4%,"Languages, Literature & Linguistics,Sport Science,Architecture,Education,Mathematics & Statistics,Art, Performing Arts & Design,Other Health,Geology, Environmental, Earth & Marine Sciences,Business & Management,Agriculture & Forestry,Sociology,History, Philosophy & Theology,Computer Science,Physics & Astronomy,Economics & Econometrics,Chemistry,Accounting & Finance,Veterinary Science,Mechanical & Aerospace Engineering,Biological Sciences,Politics & International Studies (incl Development Studies),Chemical Engineering,Civil Engineering,Communication & Media Studies",2023
1201–1500,Jianghan University,18.4–24.3,13210,15.2,1670,11.5,1321,40.4,1021,44.4,592,20.5,1669,China,"19,522",15.5,2%,"Communication & Media Studies,Civil Engineering,General Engineering,Accounting & Finance,Biological Sciences,Languages, Literature & Linguistics,Law,Art, Performing Arts & Design,Chemical Engineering,Mathematics & Statistics,Chemistry,Agriculture & Forestry,Business & Management,Architecture,Education,Sociology,History, Philosophy & Theology,Medicine & Dentistry,Other Health,Psychology,Sport Science,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Computer Science",2023
1201–1500,Kagawa University,18.4–24.3,13220,20.3,1102,12.2,1269,20.8,1406,42.3,732,28.9,1305,Japan,"6,369",9.9,2%,"Law,Biological Sciences,Electrical & Electronic Engineering,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Sociology,General Engineering,Other Health,Politics & International Studies (incl Development Studies),Chemical Engineering,Languages, Literature & Linguistics,Architecture,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Chemistry,Accounting & Finance,Mathematics & Statistics,Computer Science,Business & Management,Geography,Psychology,Education,Medicine & Dentistry,History, Philosophy & Theology,Agriculture & Forestry,Civil Engineering,Physics & Astronomy",2023
1201–1500,Kanazawa Medical University,18.4–24.3,13230,25.7,705,8.9,1660,18.8,1444,37.9,1322,19.5,1705,Japan,"1,090",2.2,2%,Medicine & Dentistry,2023
1201–1500,Kangwon National University,18.4–24.3,13240,20.3,1103,19.4,770,19.1,1439,39.9,979,23.1,1559,South Korea,"22,104",22.0,3%,"Architecture,Other Health,Law,Sport Science,Politics & International Studies (incl Development Studies),Sociology,Chemistry,Communication & Media Studies,Veterinary Science,History, Philosophy & Theology,General Engineering,Computer Science,Electrical & Electronic Engineering,Mathematics & Statistics,Chemical Engineering,Economics & Econometrics,Business & Management,Mechanical & Aerospace Engineering,Biological Sciences,Education,Medicine & Dentistry,Art, Performing Arts & Design,Accounting & Finance,Psychology,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Languages, Literature & Linguistics,Civil Engineering",2023
